school_id,room_id,date,time,manuf_id,instr_id,sessionid,feel_air,feel_temp,feel_bright,feel_health,feel_noise,response_duration,air_smell,air_heavy,air_dry,air_dust,air_electshock,temp_coldhot,temp_draw,temp_coldfloor,temp_heatsun,temp_heater,health_head,health_cough,health_tired,health_dryskin,bright_sun,bright_lamp_hi,bright_lamp_low
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,e6295aba-5076-401b-9763-7c80240f764f,3.0,3.0,2.0,4.0,1.0,22.978,,,,,,,,,,,1.0,1.0,1.0,0.0,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,1b37b667-6d39-43bd-a8cc-3fec145d7e2d,2.0,1.0,2.0,1.0,2.0,37.69,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,44c64c23-dff6-482b-9a01-0ad32bb60b1d,2.0,1.0,1.0,1.0,1.0,59.274,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,8352335a-0958-4413-9937-eb96a6cb8c51,3.0,3.0,2.0,3.0,2.0,50.919,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,21a799f4-114b-4e6e-946f-7084661ded41,2.0,2.0,1.0,1.0,1.0,25.138,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:35,niluapp,1F2KLH,db99755e-f924-4642-b57a-f57615928c2b,2.0,1.0,2.0,1.0,1.0,16.416,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,368ff3c8-3c4c-43cb-a9bd-a963d3680292,4.0,3.0,3.0,4.0,2.0,41.541,0.0,1.0,1.0,1.0,0.0,,,,,,1.0,1.0,1.0,0.0,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,39f53598-6a0c-4615-9065-5afb39a5059f,4.0,4.0,4.0,2.0,2.0,77.394,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,ea93bc43-3ca7-4ad3-a78e-c1997316dbac,3.0,2.0,2.0,3.0,3.0,36.225,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:35,niluapp,1F2KLH,70229a8d-ef5b-4c6c-a6e9-9cfe4be6aa7b,3.0,3.0,2.0,3.0,2.0,12.888,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:35,niluapp,1F2KLH,e0e2cd6c-96a8-465c-ab1b-f21181f2d6a7,2.0,1.0,1.0,1.0,2.0,11.885,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,6e7f615c-c057-49fa-b54e-c897fac6beb9,2.0,3.0,3.0,2.0,3.0,47.446,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,78621189-11bb-4e0c-a450-e43bffc271a0,3.0,3.0,2.0,2.0,2.0,56.632,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,f8379907-c0e6-45f0-8d84-a2355336bfe0,3.0,2.0,2.0,3.0,2.0,44.72,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:35,niluapp,1F2KLH,0187322d-d537-4fba-80a0-44fff11169e9,3.0,3.0,2.0,2.0,2.0,11.953,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,9a1fe1e5-7b73-4459-90f0-108607c16836,3.0,2.0,1.0,2.0,1.0,84.204,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,574da3aa-8469-4d84-b534-e3a50a95d1fb,1.0,4.0,1.0,2.0,1.0,100.148,,,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,8ab953a5-df4a-4f78-ac0c-b9ddf79f8508,2.0,4.0,2.0,2.0,3.0,120.422,,,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,
no-1,11,2023-11-13,06:36,niluapp,1F2KLH,3b1eac19-abd1-41f2-96f9-27213ac03597,3.0,4.0,2.0,2.0,1.0,68.449,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,,,
no-1,11,2023-11-13,06:37,niluapp,1F2KLH,07e4e72c-cb34-41f6-a6b1-f24ad863b509,3.0,3.0,3.0,3.0,3.0,10.063,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:37,niluapp,1F2KLH,10900a86-2e80-4b6b-8c13-53e7c741bbd1,3.0,3.0,4.0,2.0,2.0,35.459,,,,,,,,,,,,,,,0.0,0.0,0.0
no-1,11,2023-11-13,06:37,niluapp,1F2KLH,85c720ad-fc80-4d38-a216-b1d1697e2d21,2.0,2.0,2.0,3.0,2.0,11.028,,,,,,,,,,,,,,,,,
no-1,11,2023-11-13,06:34,niluapp,1F2KLH,9fad4420-3f5b-41b4-8838-e3418e08cf13,2.0,2.0,2.0,3.0,2.0,61.084,,,,,,,,,,,,,,,,,
