school_id,room_id,date,time,manuf_id,instr_id,sessionid,feel_air,feel_temp,feel_bright,feel_health,feel_noise,response_duration,air_smell,air_heavy,air_dry,air_dust,air_electshock,temp_coldhot,temp_draw,temp_coldfloor,temp_heatsun,temp_heater,health_head,health_cough,health_tired,health_dryskin,bright_sun,bright_lamp_hi,bright_lamp_low
no-2,141,2023-03-15,08:33,niluapp,266QK1,03f0d8c3-0cbf-44ce-9158-ac6c5c983800,3.0,2.0,3.0,2.0,3.0,42.943,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,06:40,niluapp,266QK1,05dd4e6e-60d3-48b4-91c0-d88025b41389,4.0,2.0,4.0,4.0,4.0,135.912,1.0,1.0,0.0,1.0,0.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0
no-2,141,2023-03-16,06:35,niluapp,266QK1,05e0deba-a78d-429d-9521-b2bda67b6507,2.0,2.0,2.0,1.0,3.0,31.737,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:33,niluapp,266QK1,08011313-89d2-4bfe-b9dd-ba5373caa794,1.0,1.0,1.0,1.0,1.0,3.092,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,06:40,niluapp,266QK1,0a52d5db-d21a-4196-ba27-b167d9204758,2.0,2.0,1.0,2.0,3.0,11.701,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,06:35,niluapp,266QK1,0c2341e0-c351-4057-aeb9-85218822b184,1.0,1.0,1.0,1.0,1.0,21.225,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,10:43,niluapp,266QK1,0dad4a09-0a91-4bf2-9f92-8f61da1f8847,1.0,2.0,2.0,1.0,2.0,22.498,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,06:36,niluapp,266QK1,0e613e8e-6262-4425-982b-f0aa19fb419a,1.0,1.0,1.0,1.0,1.0,6.772,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:33,niluapp,266QK1,0f8416e2-664d-42c9-966e-3f9486dcb9ac,3.0,1.0,2.0,2.0,3.0,42.203,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,10:48,niluapp,266QK1,0f90833b-67ac-44c5-97c2-e8a5d68ab49b,1.0,1.0,1.0,1.0,3.0,10.47,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:33,niluapp,266QK1,10124fad-8061-47d1-b942-5977d2307c8c,1.0,4.0,3.0,1.0,2.0,52.616,,,,,,6.0,0.0,0.0,0.0,0.0,,,,,,,
no-2,141,2023-03-17,06:31,niluapp,266QK1,10f7843d-7e1d-4336-a97a-8856ec82e84a,2.0,2.0,3.0,1.0,2.0,64.358,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,10:41,niluapp,266QK1,13043f09-c964-4227-9550-6b55c1a10a5a,2.0,2.0,3.0,2.0,3.0,34.91,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,06:35,niluapp,266QK1,13cdc020-c10d-4949-b195-4c3c4f45aa9b,1.0,1.0,1.0,1.0,1.0,20.912,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,06:33,niluapp,266QK1,1417f426-cc97-4de0-8909-57f66da8f4fa,2.0,2.0,3.0,2.0,2.0,11.533,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,06:32,niluapp,266QK1,170d2a25-bf9a-41cd-9d3c-8dfcdcb9bb86,2.0,2.0,3.0,1.0,4.0,45.533,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,10:42,niluapp,266QK1,1733cd5b-81f5-4449-a2ab-a9dddb7c5473,1.0,1.0,1.0,1.0,1.0,3.111,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,10:43,niluapp,266QK1,1831e2b0-8981-4fea-884a-bbd650c6f90a,1.0,1.0,1.0,1.0,3.0,48.565,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,06:35,niluapp,266QK1,1b09c3df-e396-4672-b10e-0f1c511c7a5b,2.0,1.0,2.0,1.0,4.0,56.504,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:32,niluapp,266QK1,1b8603ec-27b5-4922-8845-a6e806e52338,2.0,1.0,1.0,2.0,3.0,24.464,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:34,niluapp,266QK1,1c108c5e-6670-4028-b493-d041c5e6fde6,3.0,3.0,3.0,3.0,3.0,5.904,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,09:55,niluapp,266QK1,1ca8dd28-68ea-40e7-8e39-41155ff91d23,3.0,2.0,2.0,2.0,3.0,37.427,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,06:35,niluapp,266QK1,1cd2e466-2353-4d02-9552-b1e7a24c4908,2.0,2.0,1.0,1.0,4.0,37.083,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,06:35,niluapp,266QK1,1cd8e99a-a875-4471-aa9e-c82ef810f82d,2.0,1.0,3.0,2.0,2.0,99.519,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:32,niluapp,266QK1,1d5406b5-5822-49b5-8671-5cd1d6b6914a,2.0,3.0,1.0,1.0,1.0,66.084,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,06:35,niluapp,266QK1,1d79e195-b9a3-40a6-8909-3729a6205e64,1.0,1.0,1.0,2.0,3.0,49.533,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,10:39,niluapp,266QK1,1f05c870-ee1a-4aca-ac2d-3e895d3a99df,2.0,1.0,1.0,2.0,3.0,28.512,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,06:35,niluapp,266QK1,20783748-adad-479d-a7e8-80499da924b4,1.0,2.0,1.0,2.0,2.0,298.579,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,06:35,niluapp,266QK1,2095d818-39ae-4e8b-ad18-757e670da863,2.0,2.0,1.0,2.0,2.0,24.542,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,06:32,niluapp,266QK1,2167df03-cb3d-40b0-94b7-8b05cf2088e9,1.0,2.0,3.0,2.0,4.0,42.639,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,06:40,niluapp,266QK1,23d07aad-7f88-49d3-9f57-4a51223a1a55,3.0,3.0,2.0,1.0,2.0,17.485,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,10:46,niluapp,266QK1,2589d973-d9fc-4947-b385-6ef9e5c21906,1.0,1.0,1.0,1.0,1.0,6.324,,,,,,,,,,,,,,,,,
no-2,141,2023-03-16,10:44,niluapp,266QK1,27214798-8db2-4c54-846f-33b70327502e,3.0,3.0,3.0,3.0,3.0,14.97,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,06:34,niluapp,266QK1,2766dddd-5792-4dd5-a4b5-779b56cb48bb,4.0,4.0,4.0,4.0,,36.027,0.0,0.0,1.0,1.0,,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
no-2,141,2023-03-15,08:34,niluapp,266QK1,28bf017d-e03b-4e60-a304-3251536f1952,3.0,3.0,2.0,1.0,3.0,25.884,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,06:32,niluapp,266QK1,2958c342-d135-4387-be49-8db5b03594ca,1.0,1.0,1.0,1.0,1.0,17.403,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,06:34,niluapp,266QK1,2fbe7efc-7d03-4662-b7cf-5ae95123e85e,1.0,1.0,1.0,2.0,3.0,14.486,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:33,niluapp,266QK1,31b511d0-5ff3-424d-994d-4bebb8ff64ec,1.0,3.0,1.0,1.0,4.0,70.83,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:32,niluapp,266QK1,32bb20c2-2351-46b7-b69b-efe452f1d2fc,2.0,1.0,1.0,1.0,2.0,14.718,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,06:36,niluapp,266QK1,34bd3a79-b271-471a-9f1b-41c0710af911,1.0,1.0,1.0,1.0,1.0,4.823,,,,,,,,,,,,,,,,,
no-2,141,2023-03-17,10:22,niluapp,266QK1,361eccd7-a671-473f-963b-32d5b499af32,4.0,4.0,4.0,4.0,4.0,38.612,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
no-2,141,2023-03-15,06:35,niluapp,266QK1,36581431-2bff-42cb-9c7e-ad4266523569,1.0,2.0,2.0,1.0,3.0,313.885,,,,,,,,,,,,,,,,,
no-2,141,2023-03-15,08:32,niluapp,266QK1,367d2914-a364-4b03-a021-6ae004972f53,1.0,1.0,3.0,1.0,3.0,93.749,,,,,,,,,,,,,,,,,
