school_id,room_id,date,time,manuf_id,instr_id,sessionid,feel_air,feel_temp,feel_bright,feel_health,feel_noise,response_duration,air_smell,air_heavy,air_dry,air_dust,air_electshock,temp_coldhot,temp_draw,temp_coldfloor,temp_heatsun,temp_heater,health_head,health_cough,health_tired,health_dryskin,bright_sun,bright_lamp_hi,bright_lamp_low
no-2,142,2023-03-15,06:29,niluapp,2028FC,016f7a59-9a94-4b57-819a-06e70d04747c,3.0,1.0,1.0,4.0,1.0,67.606,,,,,,,,,,,0.0,0.0,0.0,0.0,,,
no-2,142,2023-03-14,06:29,niluapp,2028FC,035934e5-2817-40fd-9184-9451b2ca9cb1,2.0,2.0,2.0,3.0,2.0,19.579,,,,,,,,,,,,,,,,,
no-2,142,2023-03-13,11:15,niluapp,2028FC,0409d4fd-eabb-42e0-ac6f-cca949183a54,2.0,2.0,2.0,2.0,2.0,31.625,,,,,,,,,,,,,,,,,
no-2,142,2023-03-17,06:25,niluapp,2028FC,07ab0793-4f3b-4595-98d8-6a030299ccf8,3.0,2.0,2.0,2.0,3.0,23.463,,,,,,,,,,,,,,,,,
no-2,142,2023-03-15,11:46,niluapp,2028FC,0940ccd3-8f8d-41f1-946f-8a18f3bd670d,2.0,3.0,3.0,3.0,2.0,39.121,,,,,,,,,,,,,,,,,
no-2,142,2023-03-17,10:12,niluapp,2028FC,099c0b8c-8341-4463-ac78-1caa22d0e46a,4.0,3.0,1.0,4.0,1.0,66.52,1.0,1.0,0.0,1.0,0.0,,,,,,1.0,0.0,1.0,0.0,,,
no-2,142,2023-03-14,10:09,niluapp,2028FC,0d89658a-f22f-4c1a-bb6e-638679f3b586,2.0,1.0,2.0,1.0,1.0,24.607,,,,,,,,,,,,,,,,,
no-2,142,2023-03-16,11:44,niluapp,2028FC,134d5bdc-7495-4224-8427-5709049e3dff,1.0,3.0,1.0,1.0,1.0,17.492,,,,,,,,,,,,,,,,,
no-2,142,2023-03-15,06:29,niluapp,2028FC,1531186f-8465-41b6-a6ef-7813f476962b,2.0,3.0,1.0,1.0,1.0,102.101,,,,,,,,,,,,,,,,,
no-2,142,2023-03-14,06:32,niluapp,2028FC,19828254-8ac8-4501-be1c-cc78845e830a,4.0,4.0,2.0,4.0,1.0,150.845,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
