school_id,room_id,date,time,manuf_id,instr_id,sessionid,feel_air,feel_temp,feel_bright,feel_health,feel_noise,response_duration,air_smell,air_heavy,air_dry,air_dust,air_electshock,temp_coldhot,temp_draw,temp_coldfloor,temp_heatsun,temp_heater,health_head,health_cough,health_tired,health_dryskin,bright_sun,bright_lamp_hi,bright_lamp_low
no-3,302,2023-03-24,10:25,niluapp,WB10R,01304830-aa32-40b5-ba55-6a055736c8a4,2.0,3.0,2.0,2.0,3.0,18.474,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,02e0e571-d255-4778-8423-58924447bada,2.0,2.0,2.0,2.0,2.0,25.749,,,,,,,,,,,,,,,,,
no-3,302,2023-03-21,10:47,niluapp,WB10R,03311b6b-2336-4420-89e8-e9efde49e7c3,3.0,2.0,4.0,4.0,3.0,74.831,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
no-3,302,2023-03-22,06:37,niluapp,WB10R,07eab8e9-2d13-48c4-9a9e-d7e31f42e146,1.0,1.0,1.0,3.0,1.0,18.232,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:58,niluapp,WB10R,09f27638-b296-4d75-bda5-b7348ecbc173,3.0,2.0,2.0,2.0,2.0,21.14,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,0af5f46f-6f72-4622-952c-b52071bf7283,2.0,2.0,3.0,2.0,2.0,6.497,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,0cce4459-242a-48de-9081-86a78bba9b68,2.0,3.0,4.0,2.0,3.0,29.178,,,,,,,,,,,,,,,0.0,1.0,0.0
no-3,302,2023-03-22,06:37,niluapp,WB10R,0de22d58-69ee-4525-9367-6c364cc07468,3.0,3.0,3.0,4.0,2.0,23.915,,,,,,,,,,,,,1.0,,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,0e08c6b0-c21c-45f6-aa28-f53e5f5c0f76,1.0,2.0,4.0,2.0,3.0,37.77,,,,,,,,,,,,,,,0.0,1.0,0.0
no-3,302,2023-03-22,06:36,niluapp,WB10R,1014e419-400b-4ebc-852f-f75c8d6f3868,2.0,2.0,2.0,2.0,2.0,19.593,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,135e19e7-2b51-449a-bd32-42973c4fdf2f,3.0,3.0,2.0,3.0,2.0,22.554,,,,,,,,,,,,,,,,,
no-3,302,2023-03-22,06:36,niluapp,WB10R,15647591-f113-4113-847e-c20185700963,3.0,2.0,3.0,2.0,2.0,22.078,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,06:29,niluapp,WB10R,15f0485e-0554-4165-a6ce-536b71835b93,2.0,2.0,3.0,4.0,1.0,34.522,,,,,,,,,,,0.0,1.0,0.0,0.0,,,
no-3,302,2023-03-23,06:33,niluapp,WB10R,1664b3d4-591d-4837-839f-cf9d8461153d,3.0,2.0,3.0,3.0,2.0,14.353,,,,,,,,,,,,,,,,,
no-3,302,2023-03-21,10:53,niluapp,WB10R,16d1a741-0505-4f83-85ef-ebbce24d8e1e,2.0,3.0,2.0,3.0,2.0,16.452,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,17cac53e-ad66-4037-9ca1-f8624c80f8ff,2.0,1.0,3.0,2.0,3.0,15.246,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,19d0612f-a491-484d-8c6b-8b1155133d42,4.0,4.0,4.0,4.0,4.0,15.156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
no-3,302,2023-03-23,11:59,niluapp,WB10R,1a59f2d2-4b13-4e57-af9c-2870476747e2,2.0,3.0,4.0,1.0,3.0,66.057,,,,,,,,,,,,,,,1.0,0.0,1.0
no-3,302,2023-03-22,09:46,niluapp,WB10R,1ea226c2-1da3-4e53-89d0-ac74861da40e,2.0,2.0,2.0,3.0,3.0,13.207,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,1fee3a9e-466c-4ef6-ad74-b33531bc0d09,1.0,2.0,4.0,1.0,2.0,80.259,,,,,,,,,,,,,,,0.0,1.0,0.0
no-3,302,2023-03-20,06:14,niluapp,WB10R,23959e43-8724-4fea-91d3-79e3bf6d262c,1.0,2.0,2.0,1.0,1.0,22.373,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,2637b1be-8d19-45a4-8a95-87b0f735f355,2.0,2.0,3.0,1.0,1.0,14.147,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,268082c9-d76b-45d8-8f14-22fd1215c14f,3.0,2.0,2.0,2.0,2.0,17.75,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,06:32,niluapp,WB10R,27b445ee-563a-4035-a479-11a2b18134c2,2.0,3.0,4.0,2.0,3.0,40.722,,,,,,,,,,,,,,,1.0,1.0,0.0
no-3,302,2023-03-22,11:55,niluapp,WB10R,28c80219-a20c-4d28-a072-f6b85ca2df01,2.0,4.0,3.0,3.0,2.0,47.038,,,,,,2.0,1.0,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,2a1b473c-49c3-4f92-af86-d9e4d0156956,1.0,1.0,1.0,3.0,1.0,19.266,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:58,niluapp,WB10R,2d58ab3d-5815-47e9-af4d-99fc54c41504,2.0,2.0,1.0,3.0,3.0,12.034,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,2f0ed700-2661-48c9-8a0c-5e10349c43b7,1.0,1.0,1.0,4.0,1.0,44.232,,,,,,,,,,,0.0,1.0,0.0,0.0,,,
no-3,302,2023-03-24,06:39,niluapp,WB10R,31f35598-6c82-4c3b-8208-80f99f7d13df,1.0,1.0,2.0,2.0,3.0,9.859,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:59,niluapp,WB10R,34b829b3-a70d-47ce-a2da-57e5d79d0ba1,2.0,2.0,2.0,2.0,2.0,5.017,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,3c182e67-635f-493e-9334-42d5aed97d71,2.0,3.0,3.0,3.0,3.0,31.595,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,3e92a62e-2404-48f7-b4fd-1ad5844f9ae6,2.0,2.0,2.0,2.0,2.0,25.709,,,,,,,,,,,,,,,,,
no-3,302,2023-03-22,06:36,niluapp,WB10R,3f1aa9dd-bb02-4c80-a9f6-0e91d69b4cd0,3.0,2.0,,2.0,3.0,21.604,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:58,niluapp,WB10R,4338221b-c4a6-45aa-9b51-d7a386042f5c,2.0,2.0,2.0,2.0,2.0,11.179,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,06:32,niluapp,WB10R,45f9b601-fd70-4677-a647-a061d3904736,2.0,2.0,2.0,1.0,3.0,17.957,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:58,niluapp,WB10R,4640f4e2-e580-4df2-a808-87f1a0f42a78,2.0,2.0,2.0,2.0,2.0,4.809,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,48880a25-3fbe-4408-877e-b3cd9a72701d,2.0,2.0,3.0,1.0,2.0,18.37,,,,,,,,,,,,,,,,,
no-3,302,2023-03-22,11:55,niluapp,WB10R,4a07654c-ecd5-47aa-bb22-e43f32c3c188,2.0,2.0,1.0,2.0,3.0,12.412,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,4b020826-99ed-4603-8401-8d86f522e532,1.0,1.0,1.0,4.0,1.0,17.709,,,,,,,,,,,1.0,1.0,1.0,0.0,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,4bcc0dd5-442d-41bf-a0c8-d9bbabffbcf2,2.0,,3.0,2.0,2.0,7.361,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:59,niluapp,WB10R,50a5b455-da31-4b2d-a352-4096e78dd015,3.0,3.0,3.0,3.0,3.0,5.601,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,52a5061e-7c12-4a81-90ce-12bc999519e0,2.0,2.0,3.0,3.0,3.0,17.133,,,,,,,,,,,,,,,,,
no-3,302,2023-03-22,06:36,niluapp,WB10R,52ed0f1f-a8f0-4e63-8268-727aa8d3838d,3.0,2.0,2.0,2.0,1.0,27.604,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,556a1cfd-a15c-4583-ad36-34499fef914c,3.0,2.0,1.0,3.0,2.0,15.127,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,06:24,niluapp,WB10R,572bc1da-3b81-4a44-b3b5-8ea2c5336b52,2.0,2.0,2.0,3.0,2.0,10.84,,,,,,,,,,,,,,,,,
no-3,302,2023-03-22,06:37,niluapp,WB10R,59578e2e-00d4-4278-82c2-feaf0bf7acf2,2.0,2.0,4.0,3.0,,13.684,,,,,,,,,,,,,,,0.0,0.0,1.0
no-3,302,2023-03-23,06:33,niluapp,WB10R,5b3996d1-97ed-4a0d-b372-51980f4658d6,3.0,2.0,2.0,3.0,2.0,21.979,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,06:33,niluapp,WB10R,5b8790a6-1af8-4231-bc5d-18b08ef77277,2.0,3.0,2.0,3.0,3.0,21.46,,,,,,,,,,,,,,,,,
no-3,302,2023-03-22,09:47,niluapp,WB10R,5dc3eea3-e1f2-47b7-87ac-f2178b429a6c,4.0,4.0,4.0,1.0,4.0,53.228,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0
no-3,302,2023-03-22,11:56,niluapp,WB10R,5f5c3447-e21a-4501-970a-c8d4b7b8f3c6,2.0,2.0,3.0,2.0,3.0,26.337,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,10:25,niluapp,WB10R,6237ba3a-ac48-40d8-a330-b4a85abc77ff,3.0,2.0,2.0,3.0,3.0,5.254,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,63ddce40-0a34-46b7-b637-1ebd4c6fccbb,2.0,2.0,3.0,2.0,2.0,19.04,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:58,niluapp,WB10R,68449178-d7dd-44d1-82bf-5d9e94f93ec9,2.0,2.0,4.0,3.0,2.0,19.788,,,,,,,,,,,,,,,0.0,1.0,0.0
no-3,302,2023-03-24,06:38,niluapp,WB10R,6c406485-ec3e-4eab-a093-9c6da1ae14a3,2.0,2.0,3.0,4.0,3.0,19.921,,,,,,,,,,,0.0,1.0,0.0,0.0,,,
no-3,302,2023-03-23,06:32,niluapp,WB10R,6c5da208-b889-4705-aa4e-26bf82386ef4,3.0,2.0,2.0,4.0,2.0,27.944,,,,,,,,,,,0.0,0.0,1.0,0.0,,,
no-3,302,2023-03-23,06:33,niluapp,WB10R,721186fe-53ea-4349-acf5-cb5db42cce03,2.0,2.0,2.0,2.0,2.0,47.322,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,736699bf-c5ec-45e9-9d43-0fc94f58c96d,2.0,2.0,2.0,2.0,2.0,3.489,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,06:32,niluapp,WB10R,7a41f9c0-c594-4ac8-9641-04488a33b01f,3.0,2.0,2.0,4.0,3.0,19.605,,,,,,,,,,,1.0,0.0,1.0,0.0,,,
no-3,302,2023-03-23,11:58,niluapp,WB10R,7e94c8d3-3672-4be5-a824-3adbe233d967,3.0,,1.0,3.0,1.0,25.334,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:39,niluapp,WB10R,82b90e4a-523c-4ba3-a49d-33ffd01e09f7,3.0,3.0,4.0,1.0,3.0,42.196,,,,,,,,,,,,,,,0.0,1.0,0.0
no-3,302,2023-03-24,10:25,niluapp,WB10R,8323fee8-ac3c-4b9a-8f06-a420561ba050,3.0,2.0,2.0,2.0,2.0,13.315,,,,,,,,,,,,,,,,,
no-3,302,2023-03-22,06:36,niluapp,WB10R,83cd4a19-d07f-4943-8ae9-bfafe5260b0c,3.0,3.0,2.0,1.0,1.0,17.666,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:59,niluapp,WB10R,85350a1c-ce9d-42e2-b31f-c8ccd360eeaf,2.0,3.0,4.0,2.0,3.0,8.694,,,,,,,,,,,,,,,1.0,1.0,0.0
no-3,302,2023-03-20,06:33,niluapp,WB10R,85f6d78c-686e-45bb-af18-80a7f6216e24,2.0,2.0,2.0,2.0,2.0,17.583,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:34,niluapp,WB10R,8838c2e4-4189-483c-806d-68a5c9a5ecf7,1.0,1.0,1.0,1.0,1.0,31.398,,,,,,,,,,,,,,,,,
no-3,302,2023-03-23,11:58,niluapp,WB10R,8a05d2ea-6667-481b-bd6c-70c78fe0ca5d,1.0,1.0,1.0,4.0,1.0,19.794,,,,,,,,,,,1.0,0.0,1.0,0.0,,,
no-3,302,2023-03-22,09:47,niluapp,WB10R,8b2c468a-1f48-49b9-b336-b0f714dac89e,2.0,2.0,2.0,2.0,2.0,5.298,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,8e65093c-ac62-4212-96a9-ff74cdc34f9c,3.0,2.0,3.0,4.0,2.0,26.093,,,,,,,,,,,1.0,0.0,1.0,1.0,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,8fc12554-8654-4e6a-a68f-48ddc3c7cee1,2.0,2.0,3.0,3.0,2.0,6.92,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,98c128a3-51b2-4433-87ec-7ab29b81e4e7,2.0,2.0,3.0,2.0,3.0,29.891,,,,,,,,,,,,,,,,,
no-3,302,2023-03-22,06:35,niluapp,WB10R,99264f24-adbd-45d7-8865-bbddae503570,2.0,2.0,2.0,2.0,2.0,15.289,,,,,,,,,,,,,,,,,
no-3,302,2023-03-20,06:33,niluapp,WB10R,992bdc82-0a5f-4476-ad03-c2f4713ffc4d,2.0,2.0,3.0,2.0,2.0,26.042,,,,,,,,,,,,,,,,,
no-3,302,2023-03-24,06:38,niluapp,WB10R,9ee7d084-9831-4967-9134-7c73de7a382d,2.0,1.0,1.0,1.0,1.0,43.347,,,,,,,,,,,,,,,,,
