school_id,room_id,date,time,manuf_id,instr_id,sessionid,feel_air,feel_temp,feel_bright,feel_health,feel_noise,response_duration,air_smell,air_heavy,air_dry,air_dust,air_electshock,temp_coldhot,temp_draw,temp_coldfloor,temp_heatsun,temp_heater,health_head,health_cough,health_tired,health_dryskin,bright_sun,bright_lamp_hi,bright_lamp_low
no-1,23,2024-02-26,06:34,niluapp,HC185,b7b34174-1fb4-444c-9f77-59805ac13369,3.0,4.0,3.0,2.0,1.0,20.174,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,bee90036-20b1-4987-8dbf-eefae16eb458,2.0,4.0,3.0,2.0,2.0,28.042,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,17fa548e-6f92-4831-802b-7446b780dcae,2.0,4.0,2.0,1.0,3.0,23.897,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,4e8ec238-fb1d-4bc0-9bf6-118ccbf9220b,2.0,5.0,2.0,1.0,1.0,23.928,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,0aac1bc1-7c9c-4605-adbe-76e3cd01eaf0,2.0,5.0,1.0,2.0,1.0,21.056,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,24949b64-420b-428d-b348-ca19b848cd6d,3.0,5.0,2.0,3.0,3.0,35.844,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,0f6407b7-9a41-46b5-90a7-48fe25a65138,1.0,4.0,1.0,2.0,2.0,41.595,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,72058485-4034-4f45-826a-0fac54842345,1.0,3.0,2.0,2.0,1.0,30.436,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,da4c2653-51dc-4217-a7cf-9b81a623526f,3.0,5.0,3.0,4.0,2.0,28.556,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,2f622251-83f1-46c2-a0ce-aa9b53dab01b,3.0,3.0,2.0,2.0,1.0,62.638,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:35,niluapp,HC185,5b65c67b-2f6a-4977-afbf-e0bdb5f2a291,3.0,4.0,2.0,2.0,2.0,22.684,,,,,,,,,,,,,,,,,
no-1,23,2024-02-26,06:34,niluapp,HC185,fd80e980-ebc4-4b21-9f64-706901de4572,2.0,1.0,3.0,2.0,2.0,46.584,,,,,,,,,,,,,,,,,
