school_id,room_id,date,time,manuf_id,instr_id,sessionid,feel_air,feel_temp,feel_bright,feel_health,feel_noise,response_duration,air_smell,air_heavy,air_dry,air_dust,air_electshock,temp_coldhot,temp_draw,temp_coldfloor,temp_heatsun,temp_heater,health_head,health_cough,health_tired,health_dryskin,bright_sun,bright_lamp_hi,bright_lamp_low
no-2,210,2024-02-26,06:34,niluapp,172TEC,1ad800a4-7430-4174-b1a0-2a40f527c98c,2.0,2.0,2.0,2.0,2.0,32.181,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:33,niluapp,172TEC,608e7c44-3865-4e76-b061-fd5771149564,2.0,2.0,2.0,2.0,1.0,80.246,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:34,niluapp,172TEC,bc7e3540-2a06-4bbe-a149-1d83fd53e137,1.0,1.0,2.0,1.0,3.0,66.887,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:34,niluapp,172TEC,2c07724b-ee7e-49ed-baf6-4271db95ed30,2.0,2.0,2.0,1.0,2.0,27.006,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:34,niluapp,172TEC,f3daa6e5-739d-4a2c-8112-415a572e4c31,1.0,1.0,1.0,1.0,1.0,66.664,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:35,niluapp,172TEC,f559e172-9c16-4c92-9cf5-79914feea071,1.0,1.0,1.0,1.0,1.0,12.465,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:34,niluapp,172TEC,3e1efdcb-7e06-4367-8f05-0bcf5e08a41d,3.0,1.0,3.0,3.0,4.0,52.265,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0
no-2,210,2024-02-26,06:35,niluapp,172TEC,7ab072b2-c54e-492d-808a-82db21f2fff8,2.0,2.0,2.0,1.0,1.0,41.331,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:35,niluapp,172TEC,f5b46b2d-6c67-45f6-ba8b-ac14b7c73d3a,1.0,1.0,1.0,1.0,1.0,7.709,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:35,niluapp,172TEC,8e55ed4a-6c60-47b4-bc5b-1c9273be108a,2.0,2.0,2.0,1.0,1.0,5.411,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:35,niluapp,172TEC,23877e84-c7a3-421c-8949-32c0d813a78f,1.0,1.0,2.0,1.0,1.0,38.837,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:34,niluapp,172TEC,d717b843-adc8-4895-9a9a-f7efc428fad3,2.0,2.0,2.0,2.0,2.0,85.639,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:35,niluapp,172TEC,321ade41-483c-4ef6-ad07-74fa41379b5b,1.0,1.0,1.0,1.0,1.0,5.843,,,,,,,,,,,,,,,,,
no-2,210,2024-02-26,06:34,niluapp,172TEC,8fb6f401-4748-4ae8-9857-2d7347c4dfbb,2.0,2.0,1.0,1.0,3.0,94.916,,,,,,,,,,,,,,,,,
