school_id,room_id,date,time,manuf_id,instr_id,sessionid,feel_air,feel_temp,feel_bright,feel_health,feel_noise,response_duration,air_smell,air_heavy,air_dry,air_dust,air_electshock,temp_coldhot,temp_draw,temp_coldfloor,temp_heatsun,temp_heater,health_head,health_cough,health_tired,health_dryskin,bright_sun,bright_lamp_hi,bright_lamp_low
no-2,Øst brakker,2024-02-26,07:48,niluapp,2DCKGZ,cdc88599-ac96-4555-b379-673500f2c28a,2.0,2.0,1.0,1.0,3.0,122.723,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:50,niluapp,2DCKGZ,5a08b438-ddba-4a9a-8fdb-c3603c824926,2.0,2.0,1.0,2.0,2.0,34.363,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:50,niluapp,2DCKGZ,e3e58f19-abe6-4579-ba18-d6074bb38ee7,2.0,1.0,1.0,1.0,3.0,33.785,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:50,niluapp,2DCKGZ,cdbf798b-e007-4688-be87-4e50763da792,2.0,1.0,2.0,3.0,1.0,37.992,,,,,,,,,,,0.0,0.0,0.0,0.0,,,
no-2,Øst brakker,2024-02-26,07:50,niluapp,2DCKGZ,12b5e6c7-e33a-45fa-bb55-544967abaadc,3.0,2.0,2.0,2.0,2.0,38.339,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:51,niluapp,2DCKGZ,f8a4365e-fd43-4c80-aa97-76d5d0f3d440,2.0,2.0,1.0,1.0,2.0,27.164,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:50,niluapp,2DCKGZ,4db9cc5d-e69e-46aa-8503-ece367508eb7,3.0,2.0,2.0,2.0,3.0,48.614,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:51,niluapp,2DCKGZ,f656d706-a048-407c-8214-6b3127ecda80,2.0,2.0,2.0,2.0,3.0,35.343,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:51,niluapp,2DCKGZ,5fd1e7d0-0b9d-46b7-94e6-4d5fb12f397d,2.0,1.0,1.0,2.0,2.0,37.359,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:50,niluapp,2DCKGZ,a65937e8-b6ac-4a02-a361-8b7ce0db940c,2.0,3.0,2.0,3.0,3.0,122.103,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
no-2,Øst brakker,2024-02-26,07:51,niluapp,2DCKGZ,9e1b3a8c-02a3-4d29-92e7-a3895b23d8d6,2.0,2.0,2.0,2.0,3.0,35.782,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:51,niluapp,2DCKGZ,d00864fa-aee5-48bd-a2c4-2e88f992ad35,4.0,3.0,3.0,2.0,1.0,111.423,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,,,,,1.0,0.0,0.0
no-2,Øst brakker,2024-02-26,07:52,niluapp,2DCKGZ,580cf5bc-4c18-43bf-8644-5fb1f4763790,2.0,2.0,1.0,2.0,3.0,41.626,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:52,niluapp,2DCKGZ,9596607b-4c22-4074-a3a1-caa22d9664d3,2.0,2.0,2.0,3.0,3.0,72.587,,,,,,,,,,,0.0,0.0,1.0,0.0,,,
no-2,Øst brakker,2024-02-26,07:51,niluapp,2DCKGZ,f7ceb49f-509b-425d-8498-05ab96067a18,2.0,2.0,1.0,2.0,3.0,103.879,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:50,niluapp,2DCKGZ,b1c9bee9-51fa-4d5e-91be-b98e80289fd0,2.0,2.0,2.0,2.0,2.0,166.394,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:53,niluapp,2DCKGZ,bbbbb9af-83c4-42d4-86d8-c4dcac057426,2.0,2.0,2.0,2.0,2.0,5.175,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:53,niluapp,2DCKGZ,78b55a5c-2987-4626-8e7e-59f6ea1b5efe,2.0,2.0,1.0,1.0,2.0,10.625,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:51,niluapp,2DCKGZ,c68a0f13-e1a8-4127-b0b8-5fd4999a96b5,3.0,2.0,2.0,3.0,3.0,128.231,0.0,1.0,0.0,1.0,0.0,,,,,,0.0,1.0,1.0,0.0,,,
no-2,Øst brakker,2024-02-26,07:53,niluapp,2DCKGZ,b99c3d6a-8a8d-4b7c-ac3d-3a81d61d241f,2.0,2.0,1.0,2.0,3.0,21.802,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:53,niluapp,2DCKGZ,035228e8-c43e-448d-87c9-0b168dc0ce2f,3.0,3.0,2.0,1.0,2.0,67.22,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,,,,,,,
no-2,Øst brakker,2024-02-26,07:51,niluapp,2DCKGZ,0b54b089-f808-4f43-9390-922d29e45db2,3.0,2.0,2.0,2.0,3.0,225.68,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,07:54,niluapp,2DCKGZ,d78e245e-b928-4227-af7c-774b42149250,2.0,1.0,2.0,1.0,2.0,77.073,,,,,,,,,,,,,,,,,
no-2,Øst brakker,2024-02-26,11:49,niluapp,2DCKGZ,5e3f4072-401d-4511-9949-331d9d33e48b,2.0,2.0,2.0,2.0,2.0,4.132,,,,,,,,,,,,,,,,,
