school_id,room_id,date,time,manuf_id,instr_id,sessionid,feel_air,feel_temp,feel_bright,feel_health,feel_noise,response_duration,air_smell,air_heavy,air_dry,air_dust,air_electshock,temp_coldhot,temp_draw,temp_coldfloor,temp_heatsun,temp_heater,health_head,health_cough,health_tired,health_dryskin,bright_sun,bright_lamp_hi,bright_lamp_low
no-3,303,2024-04-03,08:38,niluapp,SSMJV,8454b56d-1c1e-476a-a414-9a250569c04a,1.0,1.0,1.0,1.0,1.0,28.386,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,f700a095-fd6d-42e3-b69b-7da8c8a482f2,2.0,1.0,2.0,1.0,3.0,46.336,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,bebc56fd-eb47-484e-8e95-bf47ea9df327,1.0,1.0,1.0,1.0,2.0,34.765,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:39,niluapp,SSMJV,369c864c-d3b3-4aba-bd9d-82173aab56e0,1.0,1.0,2.0,1.0,3.0,27.126,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:39,niluapp,SSMJV,f7af374a-8ea1-4230-bca3-94748736b7f1,1.0,1.0,1.0,1.0,1.0,5.998,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,a9a1f632-e924-45b1-9a3e-28d46d08180e,2.0,1.0,2.0,2.0,1.0,111.935,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:39,niluapp,SSMJV,a54a33bf-283d-4cda-af21-bc82813a2e17,1.0,1.0,1.0,1.0,1.0,66.261,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,13e788e8-6492-41b8-a2e7-e15ddf33a871,2.0,2.0,2.0,2.0,3.0,80.906,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:39,niluapp,SSMJV,8a313db0-b684-4551-8ba0-2aeee553a2c8,2.0,2.0,1.0,1.0,4.0,78.675,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:40,niluapp,SSMJV,fdc0c9a0-b571-4310-9158-2793bc84aa3c,1.0,1.0,2.0,2.0,1.0,20.626,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,c6417955-115b-4b0a-9894-f45092aa1938,3.0,2.0,4.0,2.0,4.0,149.053,1.0,1.0,1.0,1.0,,,,,,,,,,,0.0,1.0,0.0
no-3,303,2024-04-03,08:40,niluapp,SSMJV,f7a5b8a9-0976-4cc9-98cc-e9c840897181,1.0,1.0,1.0,1.0,1.0,6.319,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,ab9ce04f-156d-4fd2-8111-3b1fba046058,2.0,3.0,1.0,2.0,3.0,133.838,,,,,,7.0,0.0,1.0,0.0,1.0,,,,,,,
no-3,303,2024-04-03,08:39,niluapp,SSMJV,8a1d7979-ac43-4472-bb29-f33e6401e4ab,3.0,2.0,2.0,2.0,2.0,111.252,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,e66ba82a-8866-46fa-9b23-4e033ef8a59b,2.0,1.0,1.0,2.0,2.0,149.209,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,365eea5e-0069-4137-9662-8d41f6ce7615,2.0,1.0,1.0,2.0,3.0,149.034,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:39,niluapp,SSMJV,848e0872-f369-4354-a808-8a068d0e93ca,2.0,1.0,2.0,3.0,2.0,75.201,,,,,,,,,,,0.0,0.0,0.0,1.0,,,
no-3,303,2024-04-03,08:38,niluapp,SSMJV,0e5c2984-e776-46f5-9e83-739ee5e11dc4,2.0,3.0,3.0,3.0,2.0,144.251,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
no-3,303,2024-04-03,08:41,niluapp,SSMJV,dee0cd9d-58b6-4761-9218-089ae2ddce8a,2.0,1.0,2.0,2.0,2.0,23.048,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:40,niluapp,SSMJV,442974e0-915a-43ed-b7ad-7e3683bb9646,2.0,2.0,1.0,2.0,3.0,84.339,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:40,niluapp,SSMJV,c85d9022-c4de-41d7-83ce-4127ebda3703,2.0,1.0,3.0,1.0,2.0,70.53,,,,,,,,,,,,,,,0.0,0.0,1.0
no-3,303,2024-04-03,08:39,niluapp,SSMJV,d55f99c5-1529-4589-b5cf-851ba114b3c2,1.0,2.0,2.0,2.0,2.0,111.376,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:40,niluapp,SSMJV,39318094-0fed-48dd-a916-f9e2bc35e8b1,2.0,1.0,1.0,2.0,2.0,99.879,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:40,niluapp,SSMJV,5a99d51f-8cdf-4c28-9a78-136b13e5bee3,2.0,2.0,2.0,2.0,2.0,100.016,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:41,niluapp,SSMJV,cecb3237-b8be-4e95-bdd3-d2f2df3b3ca3,2.0,2.0,1.0,2.0,3.0,31.033,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:42,niluapp,SSMJV,5e82990f-ee2f-4700-aa0f-df200147f08f,2.0,2.0,2.0,2.0,2.0,18.954,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:41,niluapp,SSMJV,6fe6bf34-ac5f-4b9e-8ef5-49f88f34951f,1.0,1.0,1.0,1.0,1.0,88.956,,,,,,,,,,,,,,,,,
no-3,303,2024-04-03,08:42,niluapp,SSMJV,f8889f81-d972-459c-b9ef-2b1f678c3ee3,1.0,1.0,1.0,1.0,1.0,7.87,,,,,,,,,,,,,,,,,
